State,Margin,White,Hispanic or Latino,Black
IL-15,-42.6,93.5,1.7,3.4
IL-16,-33.3,91.9,3.7,2.5
IL-17,3.5,78.4,6.7,12.8
IN-01,5.7,67.6,12.5,18.0
IN-02,-32.2,85.7,5.4,6.8
IN-03,-35.2,87.9,3.6,6.2
IN-04,-36.4,90.4,3.3,3.7
IN-05,-22.1,88.2,2.4,6.3
IN-06,-35.1,90.9,2.3,4.1
IN-07,36.4,58.3,5.0,34.2
IN-08,-34.2,92.6,1.4,4.4
IN-09,-29.9,93.0,1.8,3.2
IA-01,-6.8,90.2,3.7,3.7
IA-02,-8.2,92.5,2.1,3.5
IA-03,-0.7,88.5,4.0,4.2
IA-04,-36.9,91.2,4.5,2.0
KS-01,-35.5,84.5,8.7,3.3
KS-02,-15.3,79.1,7.1,9.8
KS-03,12.1,85.4,5.1,4.8
KS-04,-27.0,79.8,7.8,7.1
KY-01,-49.8,88.9,1.9,7.9
KY-02,-43.7,90.1,2.0,5.9
KY-03,24.0,72.7,2.7,21.8
KY-04,-34.0,92.9,1.8,3.7
KY-05,-64.3,96.2,0.8,1.8
KY-06,-29.1,87.0,2.0,8.9
LA-01,-47.6,78.0,5.7,12.4
LA-02,54.2,31.5,3.9,61.8
LA-03,-53.8,71.0,2.4,24.5
LA-04,-100.0,60.8,2.7,34.2
LA-05,-51.9,62.6,1.7,34.2
LA-06,-80.4,71.2,2.6,23.2
ME-01,25.9,94.8,1.5,1.2
ME-02,6.1,95.3,1.2,0.8
MD-01,-11.3,79.5,2.8,14.8
MD-02,18.6,69.2,3.0,22.5
MD-03,20.5,68.5,4.8,17.3
MD-04,80.5,15.5,9.7,68.4
MD-05,32.0,50.8,4.1,40.8
MD-06,9.6,72.0,7.3,12.6
MD-07,64.3,35.6,3.0,58.3
MD-08,62.0,56.5,11.8,17.1
MA-01,23.1,77.3,14.8,5.6
MA-02,32.5,82.2,8.1,4.4
MA-03,27.1,74.4,15.3,3.5
MA-04,96.9,87.1,4.1,3.3
MA-05,48.1,78.6,6.7,5.0
MA-06,27.7,86.2,6.6,2.9
MA-07,69.5,50.8,15.5,24.1
MA-08,39.6,77.4,5.1,10.0
MA-09,18.4,91.2,3.5,3.2
MI-01,-22.6,92.9,1.4,1.6
MI-02,-29.4,92.4,2.9,2.6
MI-03,12.9,79.7,5.9,11.1
MI-04,-11.9,82.8,5.4,8.8
MI-05,-27.4,90.3,3.3,4.5
MI-06,31.8,78.5,3.3,10.5
MI-07,5.4,86.5,4.2,6.0
MI-08,10.3,78.6,4.1,15.2
MI-09,-30.7,92.6,2.6,2.8
MI-10,-0.5,80.0,2.0,12.8
MI-11,22.6,75.9,2.9,14.7
MI-12,44.6,47.9,2.3,47.2
MI-13,47.1,42.2,5.8,48.9
MN-01,-11.5,91.4,3.3,2.4
MN-02,5.2,85.9,3.8,4.8
MN-03,19.2,83.7,2.3,6.9
MN-04,35.3,75.3,4.3,9.1
MN-05,49.8,73.1,4.8,15.0
MN-06,-24.2,91.5,2.0,3.1
MN-07,-39.3,94.0,2.7,1.1
MN-08,-14.5,91.8,1.4,1.3
MS-01,-45.9,69.6,1.8,27.4
MS-02,20.2,34.2,1.4,63.5
